"address","parcel","sample_date","excavation_date","remediation_status","address_omaha"
"5203 BURT ST","0944460000",2009-01-06,"not remediated","not remediated","5203 BURT ST Omaha, NE"
"5206 WEBSTER ST","0944590000",2016-06-13,"not remediated","not remediated","5206 WEBSTER ST Omaha, NE"
"5207 CUMING ST","0944620000",2008-10-10,"not remediated","not remediated","5207 CUMING ST Omaha, NE"
"5202 BURT ST","0944660000",2009-05-04,"not remediated","not remediated","5202 BURT ST Omaha, NE"
"5203 IZARD ST","0944670000",2008-10-17,"not remediated","not remediated","5203 IZARD ST Omaha, NE"
"1021 N HAPPY HOLLOW BD","0944720002",2014-06-20,"not remediated","not remediated","1021 N HAPPY HOLLOW BD Omaha, NE"
"5204 IZARD ST","0944730000",2014-12-10,"not remediated","not remediated","5204 IZARD ST Omaha, NE"
"5111 HAMILTON ST","0944840000",2005-12-20,"not remediated","not remediated","5111 HAMILTON ST Omaha, NE"
"5120 LAFAYETTE AV","0944870000",2006-10-26,"not remediated","not remediated","5120 LAFAYETTE AV Omaha, NE"
"5103 LAFAYETTE AV","0944920000",2005-10-06,"not remediated","not remediated","5103 LAFAYETTE AV Omaha, NE"
"5105 LAFAYETTE AV","0944930000",2005-10-12,"not remediated","not remediated","5105 LAFAYETTE AV Omaha, NE"
"1222 N HAPPY HOLLOW BD","0944980000",2014-08-15,"not remediated","not remediated","1222 N HAPPY HOLLOW BD Omaha, NE"
"5120 WESTERN AV","0945030000",2008-08-15,"not remediated","not remediated","5120 WESTERN AV Omaha, NE"
"5109 WESTERN AV","0945160000",2005-09-01,"not remediated","not remediated","5109 WESTERN AV Omaha, NE"
"5119 WESTERN AV","0945210000",2005-09-29,"not remediated","not remediated","5119 WESTERN AV Omaha, NE"
"5120 NICHOLAS ST","0945260000",2008-07-14,"2014-07-01","remediated","5120 NICHOLAS ST Omaha, NE"
"5114 NICHOLAS ST","0945290000",2004-12-07,"not remediated","not remediated","5114 NICHOLAS ST Omaha, NE"
"5117 NICHOLAS ST","0945440000",2024-04-26,"not remediated","not remediated","5117 NICHOLAS ST Omaha, NE"
"5114 IZARD ST","0945530000",2008-11-13,"2010-06-17","remediated","5114 IZARD ST Omaha, NE"
"5106 IZARD ST","0945570000",2004-11-19,"2006-08-15","remediated","5106 IZARD ST Omaha, NE"
"5103 IZARD ST","0945610000",2004-12-22,"not remediated","not remediated","5103 IZARD ST Omaha, NE"
"5114 CUMING ST","0945750000",2014-10-08,"not remediated","not remediated","5114 CUMING ST Omaha, NE"
"5110 CUMING ST","0945760000",2004-11-15,"2010-12-01","remediated","5110 CUMING ST Omaha, NE"
"5111 CUMING ST","0945830000",2004-11-12,"not remediated","not remediated","5111 CUMING ST Omaha, NE"
"5120 BURT ST","0945900000",2004-12-01,"not remediated","not remediated","5120 BURT ST Omaha, NE"
"5104 BURT ST","0945980000",2014-04-16,"2015-08-19","remediated","5104 BURT ST Omaha, NE"
"5110 WEBSTER ST","0946170000",2004-12-01,"not remediated","not remediated","5110 WEBSTER ST Omaha, NE"
"5102 WEBSTER ST","0946200000",2004-11-24,"not remediated","not remediated","5102 WEBSTER ST Omaha, NE"
"5115 WEBSTER ST","0946270000",2004-11-17,"not remediated","not remediated","5115 WEBSTER ST Omaha, NE"
"5121 WEBSTER ST","0946300000",2008-06-27,"not remediated","not remediated","5121 WEBSTER ST Omaha, NE"
"5117 UNDERWOOD AV","0946480000",2009-06-16,"2010-06-28","remediated","5117 UNDERWOOD AV Omaha, NE"
"5114 CALIFORNIA ST","0946550000",2008-06-25,"2008-10-10","remediated","5114 CALIFORNIA ST Omaha, NE"
"5102 CALIFORNIA ST","0946600000",2005-01-06,"not remediated","not remediated","5102 CALIFORNIA ST Omaha, NE"
"516 N 51 ST","0957250142",2004-11-29,"2006-10-03","remediated","516 N 51 ST Omaha, NE"
"5122 CASS ST","0946730000",2004-12-08,"not remediated","not remediated","5122 CASS ST Omaha, NE"
"5121 CASS ST","0946880000",2006-05-03,"not remediated","not remediated","5121 CASS ST Omaha, NE"
"5104 CHICAGO ST","0946980002",2005-10-12,"2008-08-15","remediated","5104 CHICAGO ST Omaha, NE"
"5120 DAVENPORT ST","0947040000",2006-07-12,"2010-09-16","remediated","5120 DAVENPORT ST Omaha, NE"
"3039 STONE AV","0916840000",2003-12-15,"not remediated","not remediated","3039 STONE AV Omaha, NE"
"3049 STONE AV","0916880000",2012-08-24,"2014-10-23","remediated","3049 STONE AV Omaha, NE"
"3061 STONE AV","0916890000",2009-10-08,"not remediated","not remediated","3061 STONE AV Omaha, NE"
"1502 WILLIS AV","0916950000",2004-10-25,"2010-07-16","remediated","1502 WILLIS AV Omaha, NE"
"1510 WILLIS AV","0916970000",2005-06-08,"2007-12-31","remediated","1510 WILLIS AV Omaha, NE"
"1530 WILLIS AV","0917020000",2004-05-10,"2006-09-25","remediated","1530 WILLIS AV Omaha, NE"
"1538 WILLIS AV","0917040000",1999-10-08,"2006-09-12","remediated","1538 WILLIS AV Omaha, NE"
"1537 WILLIS AV","0917080000",2001-07-25,"2002-07-15","remediated","1537 WILLIS AV Omaha, NE"
"1519 WILLIS AV","0917120000",2008-06-10,"2011-02-23","remediated","1519 WILLIS AV Omaha, NE"
"1517 WILLIS AV","0917140000",2005-08-31,"not remediated","not remediated","1517 WILLIS AV Omaha, NE"
"1503 WILLIS AV","0917170000",2006-08-21,"not remediated","not remediated","1503 WILLIS AV Omaha, NE"
"1510 GRANT ST","0917230000",2004-08-17,"2010-05-21","remediated","1510 GRANT ST Omaha, NE"
"1534 GRANT ST","0917280000",2005-05-11,"2005-10-22","remediated","1534 GRANT ST Omaha, NE"
"2411 SPENCER ST","0917300000",2003-06-24,"2008-07-17","remediated","2411 SPENCER ST Omaha, NE"
"2413 SPENCER ST","0917380000",2004-08-18,"not remediated","not remediated","2413 SPENCER ST Omaha, NE"
"2423 SPENCER ST","0917410000",2007-08-01,"not remediated","not remediated","2423 SPENCER ST Omaha, NE"
"2424 WIRT ST","0917440000",2003-08-04,"2010-10-25","remediated","2424 WIRT ST Omaha, NE"
"2425 WIRT ST","0917530000",2008-05-30,"not remediated","not remediated","2425 WIRT ST Omaha, NE"
"2966 HARRIS ST","0917630000",2004-08-26,"2005-05-03","remediated","2966 HARRIS ST Omaha, NE"
"2967 HARRIS ST","0917660000",2006-05-22,"not remediated","not remediated","2967 HARRIS ST Omaha, NE"
"2961 HARRIS ST","0917690000",2003-11-13,"2011-09-13","remediated","2961 HARRIS ST Omaha, NE"
"2968 POPPLETON AV","0917770000",2004-01-12,"not remediated","not remediated","2968 POPPLETON AV Omaha, NE"
"1706 SPRING ST","0917860002",2004-09-13,"2005-10-10","remediated","1706 SPRING ST Omaha, NE"
"1902 DEER PARK BD","0918110000",2003-09-26,"not remediated","not remediated","1902 DEER PARK BD Omaha, NE"
"3109 S 20 ST","0918150000",2004-07-30,"2010-08-04","remediated","3109 S 20 ST Omaha, NE"
"3102 S 18 ST","0918180000",2003-06-12,"2010-08-25","remediated","3102 S 18 ST Omaha, NE"
"3126 S 18 ST","0918260000",2005-08-08,"not remediated","not remediated","3126 S 18 ST Omaha, NE"
"3117 1/2 S 19 ST","0918380002",2006-01-19,"2010-08-04","remediated","3117 1/2 S 19 ST Omaha, NE"
"1703 SPRING ST","0918430000",2004-01-13,"not remediated","not remediated","1703 SPRING ST Omaha, NE"
"3106 S 17 ST","0918440000",2003-08-07,"not remediated","not remediated","3106 S 17 ST Omaha, NE"
"3140 S 17 ST","0918520000",2006-04-19,"not remediated","not remediated","3140 S 17 ST Omaha, NE"
"3136 S 16 ST","0918810002",2004-10-07,"not remediated","not remediated","3136 S 16 ST Omaha, NE"
"3129 S 17 ST","0918900000",2004-08-16,"2005-09-23","remediated","3129 S 17 ST Omaha, NE"
"3126 S 15 ST","0919000000",2004-03-31,"not remediated","not remediated","3126 S 15 ST Omaha, NE"
"3315 S 19 ST","0919510000",2003-06-23,"not remediated","not remediated","3315 S 19 ST Omaha, NE"
"3318 S 19 ST","0919580000",2004-08-11,"2008-11-21","remediated","3318 S 19 ST Omaha, NE"
"3322 S 19 ST","0919590000",2006-01-10,"2008-11-10","remediated","3322 S 19 ST Omaha, NE"
"3321 S 20 ST","0919660000",2002-01-07,"2011-07-13","remediated","3321 S 20 ST Omaha, NE"
"2225 N 26 ST","2001380000",2004-07-06,"2011-08-26","remediated","2225 N 26 ST Omaha, NE"
"2530 BURDETTE ST","2001410000",2005-11-03,"not remediated","not remediated","2530 BURDETTE ST Omaha, NE"
"2524 BURDETTE ST","2001440000",2004-05-10,"2012-07-23","remediated","2524 BURDETTE ST Omaha, NE"
"2518 BURDETTE ST","2001450000",2003-09-02,"2003-11-14","remediated","2518 BURDETTE ST Omaha, NE"
"2508 BURDETTE ST","2001480000",2004-08-19,"2013-06-28","remediated","2508 BURDETTE ST Omaha, NE"
"2601 GRANT ST","2001520000",1999-04-26,"not remediated","not remediated","2601 GRANT ST Omaha, NE"
"2613 GRANT ST","2001560000",2004-01-21,"2010-10-18","remediated","2613 GRANT ST Omaha, NE"
"2623 GRANT ST","2001600000",2006-05-31,"2010-10-05","remediated","2623 GRANT ST Omaha, NE"
"2625 GRANT ST","2001610000",2004-08-06,"2010-10-05","remediated","2625 GRANT ST Omaha, NE"
"2631 GRANT ST","2001640000",2005-10-28,"not remediated","not remediated","2631 GRANT ST Omaha, NE"
"2632 BURDETTE ST","2001680000",2005-11-07,"2010-11-11","remediated","2632 BURDETTE ST Omaha, NE"
"2206 N 26 ST","2001750000",2005-11-01,"2011-01-26","remediated","2206 N 26 ST Omaha, NE"
"2612 BURDETTE ST","2001760000",2005-11-02,"2007-09-07","remediated","2612 BURDETTE ST Omaha, NE"
"2619 LIZZIE ROBINSON AV","2001820000",2004-03-22,"not remediated","not remediated","2619 LIZZIE ROBINSON AV Omaha, NE"
"2305 N 27 ST","2001900000",2009-07-27,"2011-06-01","remediated","2305 N 27 ST Omaha, NE"
"2622 GRANT ST","2001940001",2005-11-01,"2010-07-13","remediated","2622 GRANT ST Omaha, NE"
"2620 GRANT ST","2001970002",1999-05-13,"2022-09-14","remediated","2620 GRANT ST Omaha, NE"
"2304 N 26 ST","2002050002",2007-09-26,"not remediated","not remediated","2304 N 26 ST Omaha, NE"
"2520 GRANT ST","2002170000",2004-04-02,"not remediated","not remediated","2520 GRANT ST Omaha, NE"
"2415 LIZZIE ROBINSON AV","2002260000",2006-08-01,"not remediated","not remediated","2415 LIZZIE ROBINSON AV Omaha, NE"
"2429 LIZZIE ROBINSON AV","2002310002",2005-11-28,"not remediated","not remediated","2429 LIZZIE ROBINSON AV Omaha, NE"
"2516 LIZZIE ROBINSON AV","2002480000",2004-08-11,"not remediated","not remediated","2516 LIZZIE ROBINSON AV Omaha, NE"
"2531 LAKE ST","2002500000",2014-06-09,"not remediated","not remediated","2531 LAKE ST Omaha, NE"
"2412 N 26 ST","2002520000",2005-12-16,"not remediated","not remediated","2412 N 26 ST Omaha, NE"
"2406 N 26 ST","2002540000",2006-05-26,"not remediated","not remediated","2406 N 26 ST Omaha, NE"
"2618 LIZZIE ROBINSON AV","2002570002",2006-06-02,"2007-06-26","remediated","2618 LIZZIE ROBINSON AV Omaha, NE"
"2416 MAPLE ST","2002700000",2004-07-15,"not remediated","not remediated","2416 MAPLE ST Omaha, NE"
"2909 N 25 ST","2002750002",1999-05-04,"not remediated","not remediated","2909 N 25 ST Omaha, NE"
"2625 MAPLE ST","2002830002",1999-04-27,"2022-08-31","remediated","2625 MAPLE ST Omaha, NE"
"2819 N 27 ST","2002860000",2004-08-19,"not remediated","not remediated","2819 N 27 ST Omaha, NE"
"2622 CORBY ST","2002930000",2006-07-31,"2012-05-22","remediated","2622 CORBY ST Omaha, NE"
"2802 N 26 ST","2003000000",2006-08-08,"not remediated","not remediated","2802 N 26 ST Omaha, NE"
"2517 MAPLE ST","2003070002",2004-08-31,"2010-04-28","remediated","2517 MAPLE ST Omaha, NE"
"2528 CORBY ST","2003110000",2003-08-18,"not remediated","not remediated","2528 CORBY ST Omaha, NE"
"2522 CORBY ST","2003120000",2010-10-20,"not remediated","not remediated","2522 CORBY ST Omaha, NE"
"2427 MAPLE ST","2003280000",2003-10-02,"2006-09-08","remediated","2427 MAPLE ST Omaha, NE"
"2516 MAPLE ST","2003440001",2006-09-21,"not remediated","not remediated","2516 MAPLE ST Omaha, NE"
"2522 MAPLE ST","2003460000",2004-09-02,"2012-09-11","remediated","2522 MAPLE ST Omaha, NE"
"2610 MAPLE ST","2003520002",2004-07-19,"not remediated","not remediated","2610 MAPLE ST Omaha, NE"
"2620 N 25 ST","2003690000",2004-05-10,"not remediated","not remediated","2620 N 25 ST Omaha, NE"
"2518 OHIO ST","2003750000",1999-05-03,"not remediated","not remediated","2518 OHIO ST Omaha, NE"
"2514 N 25 ST","2003810000",2013-12-13,"2014-11-07","remediated","2514 N 25 ST Omaha, NE"
"2518 LAKE ST","2003850002",2004-05-20,"2012-05-17","remediated","2518 LAKE ST Omaha, NE"
"2423 OHIO ST","2004070000",2005-11-15,"not remediated","not remediated","2423 OHIO ST Omaha, NE"
"2346 GRAND AV","2004130002",2017-08-29,"2018-11-28","remediated","2346 GRAND AV Omaha, NE"
"2212 GRAND AV","2004200000",2012-03-02,"2012-06-21","remediated","2212 GRAND AV Omaha, NE"
"2118 GRAND AV","2004270000",1999-11-19,"not remediated","not remediated","2118 GRAND AV Omaha, NE"
"5014 N 23 ST","2004620000",2004-01-15,"not remediated","not remediated","5014 N 23 ST Omaha, NE"
"5005 N 24 ST","2004690000",1999-08-10,"not remediated","not remediated","5005 N 24 ST Omaha, NE"
"5023 N 23 ST","2004770000",2005-01-17,"not remediated","not remediated","5023 N 23 ST Omaha, NE"
"5015 N 23 ST","2004790000",1999-11-01,"2000-12-31","remediated","5015 N 23 ST Omaha, NE"
"5012 N 21 ST","2004860002",2005-08-29,"not remediated","not remediated","5012 N 21 ST Omaha, NE"
"2015 BROWNE ST","2005050000",2003-11-24,"not remediated","not remediated","2015 BROWNE ST Omaha, NE"
"5210 FLORENCE BD","2005300002",2016-10-25,"not remediated","not remediated","5210 FLORENCE BD Omaha, NE"
"4402 S 39 ST","2005320000",2004-08-25,"not remediated","not remediated","4402 S 39 ST Omaha, NE"
"3920 J ST","2005590000",2004-09-30,"2011-10-10","remediated","3920 J ST Omaha, NE"
"3910 J ST","2005610000",1999-04-13,"not remediated","not remediated","3910 J ST Omaha, NE"
"3902 J ST","2005630000",2003-11-12,"not remediated","not remediated","3902 J ST Omaha, NE"
"3819 I ST","2005650000",2014-02-20,"not remediated","not remediated","3819 I ST Omaha, NE"
"3828 PATTERSON ST","2005680000",2008-05-14,"not remediated","not remediated","3828 PATTERSON ST Omaha, NE"
"3828 J ST","2005790002",2003-10-08,"not remediated","not remediated","3828 J ST Omaha, NE"
"3855 FRANKLIN ST","1925720350",2003-10-21,"not remediated","not remediated","3855 FRANKLIN ST Omaha, NE"
"3839 FRANKLIN ST","1922600000",2004-08-20,"not remediated","not remediated","3839 FRANKLIN ST Omaha, NE"
"3827 FRANKLIN ST","1922630000",2003-08-05,"not remediated","not remediated","3827 FRANKLIN ST Omaha, NE"
"3819 FRANKLIN ST","1922650000",2004-06-08,"not remediated","not remediated","3819 FRANKLIN ST Omaha, NE"
"3803 FRANKLIN ST","1922690000",2004-06-02,"not remediated","not remediated","3803 FRANKLIN ST Omaha, NE"
"4004 SEWARD ST","1922710000",2003-06-17,"not remediated","not remediated","4004 SEWARD ST Omaha, NE"
"4016 SEWARD ST","1922730000",2008-07-25,"not remediated","not remediated","4016 SEWARD ST Omaha, NE"
"4024 SEWARD ST","1922750000",2003-08-18,"not remediated","not remediated","4024 SEWARD ST Omaha, NE"
"4032 SEWARD ST","1922770000",2003-07-28,"2010-10-20","remediated","4032 SEWARD ST Omaha, NE"
"4007 FRANKLIN ST","1922900002",2005-05-09,"not remediated","not remediated","4007 FRANKLIN ST Omaha, NE"
"4002 FRANKLIN ST","1922910000",2004-09-14,"2010-09-20","remediated","4002 FRANKLIN ST Omaha, NE"
"4012 FRANKLIN ST","1922940000",2006-04-13,"not remediated","not remediated","4012 FRANKLIN ST Omaha, NE"
"4016 FRANKLIN ST","1922950000",2007-01-17,"not remediated","not remediated","4016 FRANKLIN ST Omaha, NE"
"4038 FRANKLIN ST","1922990000",2006-04-13,"not remediated","not remediated","4038 FRANKLIN ST Omaha, NE"
"4029 DECATUR ST","1923040000",2005-01-10,"not remediated","not remediated","4029 DECATUR ST Omaha, NE"
"3816 FRANKLIN ST","1923110000",2004-08-17,"2005-06-30","remediated","3816 FRANKLIN ST Omaha, NE"
"3840 FRANKLIN ST","1923160000",2004-08-16,"2020-09-17","remediated","3840 FRANKLIN ST Omaha, NE"
"3852 FRANKLIN ST","1925720300",2003-07-24,"not remediated","not remediated","3852 FRANKLIN ST Omaha, NE"
"3872 FRANKLIN ST","1923240000",2006-05-01,"not remediated","not remediated","3872 FRANKLIN ST Omaha, NE"
"3831 DECATUR ST","1923390000",2004-08-20,"not remediated","not remediated","3831 DECATUR ST Omaha, NE"
"3827 DECATUR ST","1923400000",2003-10-31,"not remediated","not remediated","3827 DECATUR ST Omaha, NE"
"1704 N 36 ST","1923480000",2014-03-26,"not remediated","not remediated","1704 N 36 ST Omaha, NE"
"3708 FRANKLIN ST","1923550000",1999-03-30,"not remediated","not remediated","3708 FRANKLIN ST Omaha, NE"
"3716 FRANKLIN ST","1923570000",2003-08-05,"not remediated","not remediated","3716 FRANKLIN ST Omaha, NE"
"3737 DECATUR ST","1923620000",2004-08-19,"2004-11-16","remediated","3737 DECATUR ST Omaha, NE"
"1721 JOHN A CREIGHTON BD","1923720004",2005-01-10,"not remediated","not remediated","1721 JOHN A CREIGHTON BD Omaha, NE"
"1710 N 36 ST","1923740000",2005-05-11,"not remediated","not remediated","1710 N 36 ST Omaha, NE"
"3736 DECATUR ST","1923830000",2003-09-17,"2005-12-31","remediated","3736 DECATUR ST Omaha, NE"
"3822 DECATUR ST","1924000000",2003-09-17,"not remediated","not remediated","3822 DECATUR ST Omaha, NE"
"3832 DECATUR ST","1924020000",2004-10-08,"2007-12-31","remediated","3832 DECATUR ST Omaha, NE"
"3875 PARKER ST","1924140001",2005-09-27,"not remediated","not remediated","3875 PARKER ST Omaha, NE"
"3855 PARKER ST","1924180000",2004-09-23,"not remediated","not remediated","3855 PARKER ST Omaha, NE"
"3833 1/2 PARKER ST","1924240000",2005-05-18,"2014-06-17","remediated","3833 1/2 PARKER ST Omaha, NE"
"3815 PARKER ST","1924280000",2006-07-21,"not remediated","not remediated","3815 PARKER ST Omaha, NE"
"1820 N 38 ST","1924310000",2004-07-21,"not remediated","not remediated","1820 N 38 ST Omaha, NE"
"4006 PARKER ST","1924550002",2019-01-10,"not remediated","not remediated","4006 PARKER ST Omaha, NE"
"4007 BLONDO ST","1924670002",2015-04-01,"not remediated","not remediated","4007 BLONDO ST Omaha, NE"
"3820 PARKER ST","1924740000",2004-08-10,"2006-07-12","remediated","3820 PARKER ST Omaha, NE"
"3848 PARKER ST","1924810000",2010-11-16,"not remediated","not remediated","3848 PARKER ST Omaha, NE"
"3868 PARKER ST","1924860000",2003-11-10,"not remediated","not remediated","3868 PARKER ST Omaha, NE"
"3933 BLONDO ST","1924950000",2004-08-25,"not remediated","not remediated","3933 BLONDO ST Omaha, NE"
"3909 BLONDO ST","1925010000",2003-08-22,"not remediated","not remediated","3909 BLONDO ST Omaha, NE"
"3801 BLONDO ST","1925090000",2003-08-22,"not remediated","not remediated","3801 BLONDO ST Omaha, NE"
"3721 BLONDO ST","1925240000",2008-01-16,"not remediated","not remediated","3721 BLONDO ST Omaha, NE"
"3717 BLONDO ST","1925250000",2004-08-30,"not remediated","not remediated","3717 BLONDO ST Omaha, NE"
"1412 N 41 AV","1925370000",2003-09-23,"not remediated","not remediated","1412 N 41 AV Omaha, NE"
